cveId,assignerShortName,dateReserved,datePublished,dateUpdated,"version",baseSeverity,baseScore,vectorString
2023-0027,Rockwell,2022-12-29T14:01:39.460Z,2023-03-17T16:52:21.564Z,2023-03-17T16:52:21.564Z,2.00.00,MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N
2023-0028,@huntrdev,2023-01-01T00:00:00,2023-01-01T00:00:00,2023-10-10T07:21:25.572Z,unspecified,MEDIUM,5.7,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:L/I:L/A:H
2023-0029,VulDB,2023-01-01T13:45:38.443Z,2023-01-01T13:46:19.323Z,2023-10-20T14:46:38.810Z,RE1200R4GC-2T2R-V3_v3411b_MUL029B,MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L
2023-0030,redhat,2023-01-01T00:00:00,2023-03-08T00:00:00,2023-04-13T00:00:00,Linux,,,
,,,,,,,,
,,,,,,,,
2023-0033,WPScan,2023-01-03T02:32:07.757Z,2023-01-30T20:31:53.710Z,2023-01-30T20:31:53.710Z,0,,,
2023-0034,WPScan,2023-01-03T03:26:36.722Z,2023-02-13T14:32:25.406Z,2023-03-06T13:22:49.307Z,0,,,
2023-0035,OpenHarmony,2023-01-03T07:58:56.834Z,2023-01-09T02:23:54.999Z,2023-01-09T02:23:54.999Z,3.0,MEDIUM,6.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N
2023-0036,OpenHarmony,2023-01-03T08:00:50.786Z,2023-01-09T02:24:08.067Z,2023-01-09T02:24:08.067Z,3.0,MEDIUM,6.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N
2023-0037,WPScan,2023-01-03T13:33:27.282Z,2023-03-13T16:03:32.276Z,2023-03-13T16:03:32.276Z,0,,,
2023-0038,Wordfence,2023-01-03T13:58:20.201Z,2023-01-03T13:58:25.155Z,2023-01-03T13:58:25.155Z,*,HIGH,7.2,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:L/I:L/A:N
2023-0039,Wordfence,2023-01-03T14:12:12.826Z,2023-01-03T14:12:21.885Z,2023-04-12T20:22:12.163Z,,,,
2023-0040,Swift,2023-01-03T00:00:00,2023-01-18T00:00:00,2023-01-18T00:00:00,unspecified,,,
2023-0041,ibm,2023-01-03T19:19:15.053Z,2023-06-05T00:53:27.660Z,2023-06-05T02:15:31.346Z,11.5,MEDIUM,6.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L
2023-0042,GitLab,2023-01-03T00:00:00,2023-01-12T00:00:00,2023-01-12T00:00:00,>=11.4,MEDIUM,6.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:C/C:H/I:N/A:N
2023-0043,WPScan,2023-01-04T06:27:36.075Z,2023-02-27T15:24:41.583Z,2023-02-27T15:24:41.583Z,0,,,
2023-0044,redhat,2023-01-04T00:00:00,2023-02-23T00:00:00,2023-02-23T00:00:00,1.11.7,,,
2023-0045,Google,2023-01-04T10:07:20.469Z,2023-04-25T22:44:57.262Z,2023-04-25T22:44:57.262Z,9137bb27e60e,MEDIUM,4.7,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N
2023-0046,@huntrdev,2023-01-04T00:00:00,2023-01-04T00:00:00,2023-01-04T00:00:00,unspecified,HIGH,7.2,CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
2023-0047,redhat,2023-01-04T00:00:00,,2023-01-27T00:00:00,,,,
2023-0048,@huntrdev,2023-01-04T00:00:00,2023-01-04T00:00:00,2023-01-04T00:00:00,unspecified,HIGH,7.2,CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
2023-0049,@huntrdev,2023-01-04T00:00:00,2023-01-04T00:00:00,2023-05-03T00:00:00,unspecified,HIGH,7.3,CVSS:3.0/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
2023-0050,GitLab,2023-01-04T00:00:00,2023-03-09T00:00:00,2023-03-09T00:00:00,>=13.7,HIGH,8.7,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:N
2023-0051,@huntrdev,2023-01-04T00:00:00,2023-01-04T00:00:00,2023-05-03T00:00:00,unspecified,HIGH,7.3,CVSS:3.0/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
2023-0052,icscert,2023-01-04T16:24:05.161Z,2023-01-20T21:23:08.018Z,2023-10-26T23:15:06.756Z,Firmware,CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
2023-0053,icscert,2023-01-04T16:24:06.705Z,2023-03-02T00:15:49.817Z,2023-10-26T23:18:13.533Z,Firmware,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N
2023-0054,@huntrdev,2023-01-04T00:00:00,2023-01-04T00:00:00,2023-06-12T00:00:00,unspecified,HIGH,7.3,CVSS:3.0/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
2023-0055,@huntrdev,2023-01-04T00:00:00,2023-01-04T00:00:00,2023-01-04T00:00:00,unspecified,LOW,3.1,CVSS:3.0/AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:N/A:N
2023-0056,redhat,2023-01-04T00:00:00,2023-03-23T00:00:00,2023-03-23T00:00:00,unknown,,,
2023-0057,@huntrdev,2023-01-04T00:00:00,2023-01-05T00:00:00,2023-01-05T00:00:00,unspecified,LOW,3.1,CVSS:3.0/AV:N/AC:H/PR:N/UI:R/S:U/C:N/I:L/A:N
2023-0058,WPScan,2023-01-05T02:12:37.891Z,2023-08-16T11:03:23.680Z,2023-08-16T11:03:23.680Z,0,,,
2023-0059,WPScan,2023-01-05T04:18:24.692Z,2023-02-21T08:51:00.517Z,2023-02-21T08:51:00.517Z,0,,,
2023-0060,WPScan,2023-01-05T04:18:32.308Z,2023-02-13T14:32:06.427Z,2023-02-13T14:32:06.427Z,0,,,
